HVek	HPohlavi	HMesto	HMesto_X	HMesto_Y	HStat	PPobytOd	PNoci	POsob	PTypPobytu	PCenaUbytovani	PCenaStrava	PCenaSleva	PCenaCelkem	DHodnoceni	DUbytovani	DStrava	DPersonal	DZabava
66	žena	Plzeò	13.3771556	49.7490406	ÈR	7.1.2012	7	2	rekreaèní	16940.00	2100.00	200.00	18840.00	nespokojen	7	33	21	56
30	muž	Mnichov	11.5836375	48.1364669	Nìmecko	14.1.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	nespokojen	6	35	23	56
62	žena	Plzeò	13.3771556	49.7490406	ÈR	14.1.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	nespokojen	7	30	40	56
39	muž	Plzeò	13.3771556	49.7490406	ÈR	14.1.2012	7	3	rekreaèní	25410.00	0.00	200.00	25210.00	nespokojen	38	38	30	1
64	muž	Plzeò	13.3771556	49.7490406	ÈR	14.1.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	nespokojen	40	36	23	2
66	žena	Hradec Králové	15.8353464	50.2100194	ÈR	14.1.2012	7	3	rekreaèní	25410.00	0.00	200.00	25210.00	nespokojen	29	33	14	55
39	muž	Vídeò	16.3736767	48.2115631	Rakousko	14.1.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	nespokojen	32	40	40	71
39	žena	Plzeò	13.3771556	49.7490406	ÈR	14.1.2012	7	3	rekreaèní	25410.00	0.00	200.00	25210.00	nespokojen	24	26	40	71
22	muž	Linec	14.2862742	48.3066489	Rakousko	21.1.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	prùmìr	49	65	56	36
49	muž	Plzeò	13.3771556	49.7490406	ÈR	21.1.2012	7	2	rekreaèní	16940.00	0.00	200.00	16740.00	nespokojen	22	26	38	3
53	muž	Jihlava	15.5909008	49.3963828	ÈR	21.1.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	nespokojen	24	24	38	70
50	muž	Linec	14.2862742	48.3066489	Rakousko	28.1.2012	7	3	rekreaèní	25410.00	0.00	200.00	25210.00	prùmìr	52	57	59	59
31	muž	Linec	14.2862742	48.3066489	Rakousko	28.1.2012	7	1	rekreaèní	8470.00	1050.00	200.00	9320.00	prùmìr	60	55	43	46
21	muž	Hradec Králové	15.8353464	50.2100194	ÈR	1.2.2012	21	3	rekreaèní	76230.00	0.00	200.00	76030.00	spokojen	81	91	63	22
42	muž	Bratislava	17.1097606	48.1547933	Slovensko	3.2.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	34	56	55	57
42	žena	Linec	14.2862742	48.3066489	Rakousko	4.2.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	prùmìr	28	66	44	48
43	žena	Linec	14.2862742	48.3066489	Rakousko	4.2.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	prùmìr	25	51	41	46
56	žena	Linec	14.2862742	48.3066489	Rakousko	4.2.2012	7	3	rekreaèní	25410.00	0.00	200.00	25210.00	prùmìr	44	43	58	52
28	muž	Drážïany	13.7397044	51.0497456	Nìmecko	4.2.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	prùmìr	42	55	57	52
49	žena	Salzburg	13.0475658	47.798095	Rakousko	4.2.2012	7	2	rekreaèní	16940.00	2100.00	200.00	18840.00	prùmìr	36	66	44	63
56	žena	Linec	14.2862742	48.3066489	Rakousko	4.2.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	prùmìr	42	67	71	50
62	žena	Linec	14.2862742	48.3066489	Rakousko	4.2.2012	7	4	rekreaèní	33880.00	4200.00	200.00	37880.00	prùmìr	25	66	42	45
71	muž	Drážïany	13.7397044	51.0497456	Nìmecko	8.2.2012	21	1	rekreaèní	25410.00	3150.00	200.00	28360.00	spokojen	90	98	90	52
66	muž	Drážïany	13.7397044	51.0497456	Nìmecko	10.2.2012	7	1	rekreaèní	8470.00	1050.00	200.00	9320.00	prùmìr	43	44	45	64
82	žena	Bratislava	17.1097606	48.1547933	Slovensko	10.2.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	49	68	53	64
24	žena	Vídeò	16.3736767	48.2115631	Rakousko	10.2.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	prùmìr	42	67	72	33
40	žena	Bratislava	17.1097606	48.1547933	Slovensko	10.2.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	58	68	69	50
30	žena	Bratislava	17.1097606	48.1547933	Slovensko	10.2.2012	2	2	rekreaèní	4840.00	0.00	200.00	4640.00	prùmìr	33	58	59	64
65	žena	Drážïany	13.7397044	51.0497456	Nìmecko	10.2.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	52	57	45	60
28	žena	Praha	14.4212806	50.0874967	ÈR	10.2.2012	14	3	rekreaèní	50820.00	6300.00	200.00	56920.00	nespokojen	13	40	37	46
25	muž	Praha	14.4212806	50.0874967	ÈR	10.2.2012	14	4	rekreaèní	67760.00	8400.00	200.00	75960.00	nespokojen	16	31	28	2
24	žena	Drážïany	13.7397044	51.0497456	Nìmecko	10.2.2012	7	2	rekreaèní	16940.00	2100.00	200.00	18840.00	prùmìr	50	55	72	34
43	muž	Salzburg	13.0475658	47.798095	Rakousko	10.2.2012	7	4	rekreaèní	33880.00	4200.00	200.00	37880.00	prùmìr	43	42	59	36
53	muž	Vídeò	16.3736767	48.2115631	Rakousko	13.2.2012	1	2	služební	2420.00	0.00	0.00	2420.00	prùmìr	42	44	54	50
65	žena	Pardubice	15.780415	50.0409775	ÈR	13.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	prùmìr	26	55	53	33
38	muž	Pardubice	15.780415	50.0409775	ÈR	13.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	prùmìr	27	58	56	62
38	muž	Nitra	18.0902903	48.3139558	Slovensko	15.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	spokojen	85	91	86	49
80	žena	Hradec Králové	15.8353464	50.2100194	ÈR	15.2.2012	21	1	rekreaèní	25410.00	0.00	200.00	25210.00	spokojen	88	81	85	57
74	žena	Vídeò	16.3736767	48.2115631	Rakousko	15.2.2012	21	4	rekreaèní	101640.00	12600.00	200.00	114040.00	spokojen	97	87	91	51
39	žena	Liberec	15.0663036	50.7709239	ÈR	15.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	spokojen	84	85	61	60
81	žena	Salzburg	13.0475658	47.798095	Rakousko	15.2.2012	21	3	rekreaèní	76230.00	9450.00	200.00	85480.00	spokojen	81	96	63	56
80	muž	Hradec Králové	15.8353464	50.2100194	ÈR	15.2.2012	21	3	rekreaèní	76230.00	0.00	200.00	76030.00	spokojen	89	89	86	22
65	žena	Nitra	18.0902903	48.3139558	Slovensko	15.2.2012	1	3	služební	3630.00	450.00	0.00	4080.00	spokojen	85	89	64	56
29	muž	Drážïany	13.7397044	51.0497456	Nìmecko	15.2.2012	21	3	rekreaèní	76230.00	9450.00	200.00	85480.00	spokojen	92	91	100	58
53	muž	Linec	14.2862742	48.3066489	Rakousko	16.2.2012	1	2	služební	2420.00	300.00	0.00	2720.00	spokojen	86	82	85	55
75	muž	Linec	14.2862742	48.3066489	Rakousko	16.2.2012	1	2	služební	2420.00	0.00	0.00	2420.00	spokojen	99	85	85	60
45	muž	Drážïany	13.7397044	51.0497456	Nìmecko	17.2.2012	14	4	rekreaèní	67760.00	8400.00	200.00	75960.00	nespokojen	30	39	16	55
44	žena	Drážïany	13.7397044	51.0497456	Nìmecko	17.2.2012	7	2	rekreaèní	16940.00	0.00	200.00	16740.00	prùmìr	34	53	53	48
50	muž	Bratislava	17.1097606	48.1547933	Slovensko	17.2.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	58	41	42	64
19	žena	Praha	14.4212806	50.0874967	ÈR	17.2.2012	14	4	rekreaèní	67760.00	8400.00	200.00	75960.00	nespokojen	23	26	15	53
32	muž	Vídeò	16.3736767	48.2115631	Rakousko	17.2.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	prùmìr	43	53	59	34
70	muž	Drážïany	13.7397044	51.0497456	Nìmecko	17.2.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	25	59	71	34
70	muž	Praha	14.4212806	50.0874967	ÈR	17.2.2012	14	4	rekreaèní	67760.00	0.00	200.00	67560.00	nespokojen	16	39	40	40
73	žena	Praha	14.4212806	50.0874967	ÈR	17.2.2012	14	4	rekreaèní	67760.00	8400.00	200.00	75960.00	nespokojen	39	27	40	45
35	muž	Drážïany	13.7397044	51.0497456	Nìmecko	17.2.2012	7	2	rekreaèní	16940.00	2100.00	200.00	18840.00	prùmìr	41	68	53	47
20	muž	Vídeò	16.3736767	48.2115631	Rakousko	17.2.2012	7	1	rekreaèní	8470.00	1050.00	200.00	9320.00	prùmìr	57	67	42	36
31	muž	Drážïany	13.7397044	51.0497456	Nìmecko	17.2.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	50	53	69	61
75	žena	Praha	14.4212806	50.0874967	ÈR	17.2.2012	14	4	rekreaèní	67760.00	8400.00	200.00	75960.00	nespokojen	37	40	14	38
21	muž	Zlín	17.6700633	49.2280669	ÈR	17.2.2012	7	2	rekreaèní	16940.00	2100.00	200.00	18840.00	prùmìr	44	55	71	45
33	muž	Vídeò	16.3736767	48.2115631	Rakousko	17.2.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	prùmìr	51	52	45	33
45	žena	Vídeò	16.3736767	48.2115631	Rakousko	17.2.2012	7	1	rekreaèní	8470.00	1050.00	200.00	9320.00	prùmìr	41	65	72	49
36	muž	Salzburg	13.0475658	47.798095	Rakousko	17.2.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	27	67	59	47
35	muž	Drážïany	13.7397044	51.0497456	Nìmecko	17.2.2012	2	4	rekreaèní	9680.00	0.00	200.00	9480.00	prùmìr	43	41	60	45
39	muž	Drážïany	13.7397044	51.0497456	Nìmecko	17.2.2012	7	2	rekreaèní	16940.00	0.00	200.00	16740.00	prùmìr	26	49	43	35
25	žena	Vídeò	16.3736767	48.2115631	Rakousko	17.2.2012	7	3	rekreaèní	25410.00	0.00	200.00	25210.00	prùmìr	51	44	43	52
55	žena	Drážïany	13.7397044	51.0497456	Nìmecko	17.2.2012	2	4	rekreaèní	9680.00	1200.00	200.00	10680.00	prùmìr	52	66	46	47
19	žena	Drážïany	13.7397044	51.0497456	Nìmecko	17.2.2012	2	2	rekreaèní	4840.00	600.00	200.00	5240.00	prùmìr	35	57	72	50
