MDatum	MTeplota	MObloha
1.1.2012	1.6	zataženo
2.1.2012	-5.8	zataženo
3.1.2012	-6.1	zataženo
4.1.2012	-6.3	sluneèno
5.1.2012	-6.6	zataženo
6.1.2012	6.1	srážky
7.1.2012	1.6	srážky
8.1.2012	-1.3	srážky
9.1.2012	0.7	zataženo
10.1.2012	3	srážky
11.1.2012	3	zataženo
12.1.2012	-3.1	srážky
13.1.2012	-8.1	zataženo
14.1.2012	-10.7	srážky
15.1.2012	-5.5	zataženo
16.1.2012	2.3	zataženo
17.1.2012	-1.9	zataženo
18.1.2012	-8.6	zataženo
19.1.2012	-11.1	sluneèno
20.1.2012	-11.7	sluneèno
21.1.2012	-7.8	sluneèno
22.1.2012	-2.2	sluneèno
23.1.2012	1.8	sluneèno
24.1.2012	-2.1	sluneèno
25.1.2012	-2.3	zataženo
26.1.2012	1.2	zataženo
27.1.2012	1.7	srážky
28.1.2012	-2.1	zataženo
29.1.2012	-3.8	zataženo
30.1.2012	2.4	srážky
31.1.2012	8.2	srážky
1.2.2012	2.8	zataženo
2.2.2012	0.7	zataženo
3.2.2012	0.7	zataženo
4.2.2012	0.8	sluneèno
5.2.2012	0.8	sluneèno
6.2.2012	-1.4	zataženo
7.2.2012	14.7	zataženo
8.2.2012	5	srážky
9.2.2012	13.2	sluneèno
10.2.2012	14	srážky
11.2.2012	6.1	srážky
12.2.2012	8.2	srážky
13.2.2012	6.8	srážky
14.2.2012	10.8	srážky
15.2.2012	12.9	zataženo
16.2.2012	13.2	zataženo
17.2.2012	13.4	srážky
18.2.2012	13.6	zataženo
19.2.2012	6.6	zataženo
20.2.2012	10.9	sluneèno
21.2.2012	11.2	srážky
22.2.2012	10.8	sluneèno
23.2.2012	3.3	srážky
24.2.2012	5.2	sluneèno
25.2.2012	8.5	sluneèno
26.2.2012	11.8	sluneèno
27.2.2012	14.9	sluneèno
28.2.2012	19.6	sluneèno
29.2.2012	10.9	srážky
1.3.2012	8.5	srážky
2.3.2012	14	zataženo
3.3.2012	12	sluneèno
4.3.2012	6.6	sluneèno
5.3.2012	6.3	sluneèno
6.3.2012	7	sluneèno
7.3.2012	9.2	zataženo
8.3.2012	10	sluneèno
9.3.2012	12.3	sluneèno
10.3.2012	8.9	zataženo
11.3.2012	6.3	sluneèno
12.3.2012	7.6	srážky
13.3.2012	9.1	zataženo
14.3.2012	12.7	zataženo
15.3.2012	13.6	zataženo
16.3.2012	19.9	zataženo
17.3.2012	20.1	sluneèno
18.3.2012	20.3	sluneèno
19.3.2012	20.4	srážky
20.3.2012	15.7	sluneèno
21.3.2012	14.7	srážky
22.3.2012	15.7	srážky
23.3.2012	12	sluneèno
24.3.2012	13.4	sluneèno
25.3.2012	-0.8	zataženo
26.3.2012	-2.3	zataženo
27.3.2012	-2.7	srážky
28.3.2012	-3.4	srážky
29.3.2012	-9.7	sluneèno
30.3.2012	-4.9	sluneèno
31.3.2012	-3.8	zataženo
1.4.2012	-0.1	srážky
2.4.2012	2.7	zataženo
3.4.2012	3.4	zataženo
4.4.2012	2.3	sluneèno
5.4.2012	0.4	zataženo
6.4.2012	-1.6	zataženo
7.4.2012	0.1	srážky
8.4.2012	2.6	srážky
9.4.2012	2.4	sluneèno
10.4.2012	0.4	srážky
11.4.2012	-0.9	sluneèno
12.4.2012	-6.8	zataženo
13.4.2012	1.7	sluneèno
14.4.2012	-0.9	zataženo
15.4.2012	1.4	zataženo
16.4.2012	7.1	zataženo
17.4.2012	2.5	sluneèno
18.4.2012	2.1	zataženo
19.4.2012	2	zataženo
20.4.2012	1.9	srážky
21.4.2012	1.7	srážky
22.4.2012	9.7	zataženo
23.4.2012	14.9	zataženo
24.4.2012	4.3	zataženo
25.4.2012	0.5	zataženo
26.4.2012	5.7	sluneèno
27.4.2012	10.7	zataženo
28.4.2012	13.5	zataženo
29.4.2012	12.9	zataženo
30.4.2012	16.7	srážky
1.5.2012	18.6	srážky
2.5.2012	18.3	zataženo
3.5.2012	19.7	zataženo
4.5.2012	19.9	zataženo
5.5.2012	20.2	srážky
6.5.2012	22.7	zataženo
7.5.2012	22.7	srážky
8.5.2012	19.8	srážky
9.5.2012	16	srážky
10.5.2012	13.9	sluneèno
11.5.2012	17.1	srážky
12.5.2012	14.9	srážky
13.5.2012	15.3	zataženo
14.5.2012	16.9	zataženo
15.5.2012	20.4	srážky
16.5.2012	13.6	srážky
17.5.2012	15.4	srážky
18.5.2012	20.4	zataženo
19.5.2012	23.7	zataženo
20.5.2012	23.3	srážky
21.5.2012	15.3	srážky
22.5.2012	15.6	sluneèno
23.5.2012	18.9	srážky
24.5.2012	25.4	srážky
25.5.2012	21.5	sluneèno
26.5.2012	21.3	sluneèno
27.5.2012	28.3	zataženo
28.5.2012	27.6	sluneèno
29.5.2012	21.5	zataženo
30.5.2012	14.9	srážky
31.5.2012	8.8	zataženo
1.6.2012	12.7	zataženo
2.6.2012	16.7	zataženo
3.6.2012	16.8	srážky
4.6.2012	16.8	zataženo
5.6.2012	16.8	zataženo
6.6.2012	17.8	sluneèno
7.6.2012	19	zataženo
8.6.2012	22.1	zataženo
9.6.2012	23.6	zataženo
10.6.2012	25.8	sluneèno
11.6.2012	25.1	srážky
12.6.2012	19.2	sluneèno
13.6.2012	16.8	zataženo
14.6.2012	21.9	zataženo
15.6.2012	25.9	srážky
16.6.2012	25.8	sluneèno
17.6.2012	23.6	sluneèno
18.6.2012	27.3	srážky
19.6.2012	28.2	srážky
20.6.2012	27.8	sluneèno
21.6.2012	23.8	zataženo
22.6.2012	22.2	zataženo
23.6.2012	22.9	zataženo
24.6.2012	24.5	sluneèno
25.6.2012	19.7	sluneèno
26.6.2012	20.7	zataženo
27.6.2012	24.3	zataženo
28.6.2012	29.6	srážky
29.6.2012	25.5	zataženo
30.6.2012	24.9	sluneèno
1.7.2012	25.4	zataženo
2.7.2012	28.2	sluneèno
3.7.2012	28.2	sluneèno
4.7.2012	28.3	srážky
5.7.2012	28.3	srážky
6.7.2012	31.1	srážky
7.7.2012	28.2	srážky
8.7.2012	25.1	srážky
9.7.2012	24.6	srážky
10.7.2012	23.8	sluneèno
11.7.2012	23.8	srážky
12.7.2012	25.8	srážky
13.7.2012	25.2	sluneèno
14.7.2012	25.8	sluneèno
15.7.2012	26.8	zataženo
16.7.2012	28.3	zataženo
17.7.2012	30	sluneèno
18.7.2012	27.7	sluneèno
19.7.2012	24.4	sluneèno
20.7.2012	23.1	zataženo
21.7.2012	23.8	zataženo
22.7.2012	25.5	sluneèno
23.7.2012	28.5	srážky
24.7.2012	24.9	zataženo
25.7.2012	28.5	sluneèno
26.7.2012	25.1	srážky
27.7.2012	23	srážky
28.7.2012	23.4	srážky
29.7.2012	23.2	srážky
30.7.2012	27.1	sluneèno
31.7.2012	24.9	zataženo
1.8.2012	24.2	srážky
2.8.2012	25.6	zataženo
3.8.2012	25.6	zataženo
4.8.2012	25.6	sluneèno
5.8.2012	25.6	srážky
6.8.2012	20.9	zataženo
7.8.2012	24	zataženo
8.8.2012	23.4	zataženo
9.8.2012	19.9	srážky
10.8.2012	19.1	zataženo
11.8.2012	18.3	zataženo
12.8.2012	18.2	zataženo
13.8.2012	17	zataženo
14.8.2012	20.1	srážky
15.8.2012	22.9	sluneèno
16.8.2012	20.7	srážky
17.8.2012	17.4	srážky
18.8.2012	17.9	srážky
19.8.2012	19.6	sluneèno
20.8.2012	18.6	zataženo
21.8.2012	18.6	sluneèno
22.8.2012	19.9	sluneèno
23.8.2012	25.5	srážky
24.8.2012	26.3	srážky
25.8.2012	25.7	srážky
26.8.2012	21.4	zataženo
27.8.2012	23.2	zataženo
28.8.2012	21.9	srážky
29.8.2012	23.3	srážky
30.8.2012	24.4	zataženo
31.8.2012	24.9	zataženo
1.9.2012	22.2	srážky
2.9.2012	24.3	srážky
3.9.2012	24.2	zataženo
4.9.2012	24.2	sluneèno
5.9.2012	24.1	zataženo
6.9.2012	23.4	zataženo
7.9.2012	19.3	sluneèno
8.9.2012	16.4	srážky
9.9.2012	15.9	zataženo
10.9.2012	16.2	zataženo
11.9.2012	19.7	sluneèno
12.9.2012	21.8	sluneèno
13.9.2012	14.8	zataženo
14.9.2012	15.8	srážky
15.9.2012	17.3	zataženo
16.9.2012	15.9	zataženo
17.9.2012	16.1	srážky
18.9.2012	10.9	sluneèno
19.9.2012	13.9	srážky
20.9.2012	14.9	srážky
21.9.2012	10.1	sluneèno
22.9.2012	9.8	zataženo
23.9.2012	9.1	zataženo
24.9.2012	11.3	zataženo
25.9.2012	16.2	sluneèno
26.9.2012	14.8	zataženo
27.9.2012	12.2	zataženo
28.9.2012	13.1	srážky
29.9.2012	15.4	sluneèno
30.9.2012	13.2	srážky
1.10.2012	13.2	srážky
2.10.2012	15.6	sluneèno
3.10.2012	15.8	zataženo
4.10.2012	15.9	sluneèno
5.10.2012	16.1	sluneèno
6.10.2012	5.1	sluneèno
7.10.2012	4.7	sluneèno
8.10.2012	6.9	sluneèno
9.10.2012	10.8	srážky
10.10.2012	4.9	zataženo
11.10.2012	9.1	srážky
12.10.2012	7.5	srážky
13.10.2012	13.1	srážky
14.10.2012	14.8	sluneèno
15.10.2012	9.1	zataženo
16.10.2012	13.2	zataženo
17.10.2012	15.3	srážky
18.10.2012	7.9	srážky
19.10.2012	7.4	srážky
20.10.2012	7.3	zataženo
21.10.2012	11.2	sluneèno
22.10.2012	14.8	zataženo
23.10.2012	17.7	zataženo
24.10.2012	20.3	sluneèno
25.10.2012	16.1	sluneèno
26.10.2012	5.2	sluneèno
27.10.2012	3.3	zataženo
28.10.2012	4.6	sluneèno
29.10.2012	5.3	zataženo
30.10.2012	4.8	sluneèno
31.10.2012	3.6	sluneèno
1.11.2012	5	srážky
2.11.2012	3.5	zataženo
3.11.2012	3.4	srážky
4.11.2012	3.3	srážky
5.11.2012	3.4	srážky
6.11.2012	1.7	srážky
7.11.2012	5.2	zataženo
8.11.2012	5.1	srážky
9.11.2012	7.3	srážky
10.11.2012	14.3	srážky
11.11.2012	13.7	srážky
12.11.2012	-0.5	srážky
13.11.2012	-1.4	zataženo
14.11.2012	1.5	sluneèno
15.11.2012	1.5	sluneèno
16.11.2012	3	sluneèno
17.11.2012	4.1	sluneèno
18.11.2012	5.2	srážky
19.11.2012	8.4	zataženo
20.11.2012	8.9	sluneèno
21.11.2012	4.7	srážky
22.11.2012	9.9	zataženo
23.11.2012	-0.6	srážky
24.11.2012	-2.3	srážky
25.11.2012	0.9	srážky
26.11.2012	-1.6	srážky
27.11.2012	-4.4	srážky
28.11.2012	0.2	srážky
29.11.2012	3.6	srážky
30.11.2012	5.9	sluneèno
1.12.2012	7.7	zataženo
2.12.2012	12.8	zataženo
3.12.2012	12.6	sluneèno
4.12.2012	12.3	sluneèno
5.12.2012	12.2	sluneèno
6.12.2012	4	srážky
7.12.2012	4.9	zataženo
8.12.2012	2.8	srážky
9.12.2012	3.1	sluneèno
10.12.2012	-0.6	srážky
11.12.2012	-2.4	srážky
12.12.2012	0.3	zataženo
13.12.2012	2.5	zataženo
14.12.2012	2.7	sluneèno
15.12.2012	7.3	zataženo
16.12.2012	5.2	zataženo
17.12.2012	1.3	srážky
18.12.2012	1.4	sluneèno
19.12.2012	1.9	zataženo
20.12.2012	4.2	zataženo
21.12.2012	-4.5	sluneèno
22.12.2012	-5.9	sluneèno
23.12.2012	-3.8	sluneèno
24.12.2012	-1.8	zataženo
25.12.2012	-3.5	sluneèno
26.12.2012	-1.3	sluneèno
27.12.2012	-2.2	sluneèno
28.12.2012	-1.2	zataženo
29.12.2012	-3.7	sluneèno
30.12.2012	-5.2	srážky
31.12.2012	-2.6	zataženo
1.1.2013	-9.8	zataženo
2.1.2013	-8.1	sluneèno
