HAge	HNationality	HPersons	HRoom	HVisitFrom	HNights	HPrice	HVisitType
49	CZ	1	230	1.1.2012	21	25410	Tourist
47	PL	1	230	1.1.2012	1	1210	Tourist
79	CZ	1	130	4.1.2012	7	8470	Tourist
45	GE	2	210	5.1.2012	1	2420	Business
76	CZ	4	220	5.1.2012	1	4840	Tourist
77	CZ	1	220	6.1.2012	21	25410	Business
37	CZ	1	310	9.1.2012	2	2420	Tourist
57	CZ	1	240	9.1.2012	2	2420	Tourist
45	SK	4	240	10.1.2012	2	9680	Business
41	SK	2	320	10.1.2012	2	4840	Tourist
71	SK	1	310	11.1.2012	2	2420	Business
45	SK	1	240	13.1.2012	1	1210	Tourist
30	GE	2	320	13.1.2012	14	33880	Tourist
34	CZ	2	120	13.1.2012	21	50820	Tourist
19	CZ	2	210	13.1.2012	7	16940	Business
43	CZ	3	310	13.1.2012	2	7260	Tourist
62	CZ	3	210	14.1.2012	2	7260	Tourist
36	SK	2	110	16.1.2012	2	4840	Tourist
25	SK	2	320	17.1.2012	2	4840	Tourist
19	CZ	4	110	18.1.2012	21	101640	Tourist
62	GE	1	240	19.1.2012	14	16940	Tourist
44	SK	3	230	19.1.2012	2	7260	Tourist
31	GE	3	240	19.1.2012	14	50820	Tourist
70	CZ	1	220	20.1.2012	1	1210	Tourist
54	GE	2	210	21.1.2012	2	4840	Tourist
61	GE	1	220	21.1.2012	7	8470	Business
22	CZ	1	230	21.1.2012	5	6050	Tourist
42	CZ	1	130	23.1.2012	1	1210	Tourist
24	CZ	1	320	24.1.2012	2	2420	Tourist
39	PL	1	310	24.1.2012	3	3630	Tourist
26	CZ	2	130	25.1.2012	7	16940	Tourist
49	CZ	2	240	25.1.2012	7	16940	Tourist
54	SK	1	130	25.1.2012	14	16940	Tourist
46	PL	1	220	25.1.2012	7	8470	Tourist
54	PL	3	120	26.1.2012	14	50820	Tourist
59	CZ	1	110	26.1.2012	2	2420	Business
31	GE	1	240	26.1.2012	14	16940	Tourist
62	PL	1	240	26.1.2012	2	2420	Tourist
38	SK	2	210	27.1.2012	21	50820	Business
39	SK	2	240	27.1.2012	1	2420	Tourist
80	CZ	4	120	28.1.2012	1	4840	Tourist
26	SK	2	230	29.1.2012	14	33880	Business
31	SK	2	220	29.1.2012	2	4840	Tourist
41	SK	1	320	30.1.2012	2	2420	Business
65	CZ	2	210	30.1.2012	3	7260	Business
20	PL	3	210	30.1.2012	1	3630	Tourist
70	CZ	1	120	31.1.2012	6	7260	Tourist
31	CZ	1	320	3.2.2012	21	25410	Tourist
35	CZ	2	240	3.2.2012	1	2420	Tourist
49	CZ	1	320	3.2.2012	62	75020	Business
51	CZ	3	130	4.2.2012	3	10890	Business
52	CZ	1	310	4.2.2012	3	3630	Business
42	CZ	4	110	4.2.2012	14	67760	Tourist
80	GE	2	210	5.2.2012	14	33880	Tourist
44	CZ	2	110	6.2.2012	2	4840	Tourist
42	CZ	2	120	8.2.2012	2	4840	Business
52	CZ	3	210	8.2.2012	1	3630	Business
59	CZ	2	110	8.2.2012	7	16940	Tourist
52	SK	2	220	9.2.2012	2	4840	Tourist
60	CZ	3	110	9.2.2012	21	76230	Tourist
67	GE	2	240	9.2.2012	14	33880	Business
53	SK	2	240	10.2.2012	62	150040	Tourist
35	GE	4	120	11.2.2012	14	67760	Tourist
33	SK	1	320	12.2.2012	2	2420	Tourist
72	GE	4	230	12.2.2012	2	9680	Tourist
54	CZ	3	310	12.2.2012	2	7260	Business
56	GE	1	320	13.2.2012	5	6050	Tourist
47	CZ	2	240	13.2.2012	7	16940	Tourist
81	GE	2	110	14.2.2012	7	16940	Tourist
63	GE	1	320	14.2.2012	62	75020	Business
25	PL	2	240	14.2.2012	1	2420	Tourist
31	CZ	3	230	14.2.2012	1	3630	Tourist
29	CZ	1	210	14.2.2012	2	2420	Tourist
64	AT	1	310	15.2.2012	7	8470	Tourist
42	SK	4	120	15.2.2012	14	67760	Tourist
19	CZ	4	320	16.2.2012	2	9680	Business
42	GE	2	230	17.2.2012	2	4840	Tourist
38	SK	2	130	18.2.2012	7	16940	Tourist
21	CZ	1	130	20.2.2012	7	8470	Tourist
48	CZ	2	320	20.2.2012	1	2420	Tourist
50	SK	2	210	20.2.2012	2	4840	Tourist
81	SK	1	210	21.2.2012	62	75020	Tourist
82	CZ	2	320	21.2.2012	2	4840	Tourist
44	CZ	2	320	21.2.2012	21	50820	Tourist
44	SK	1	310	23.2.2012	1	1210	Tourist
40	CZ	2	230	23.2.2012	1	2420	Business
66	CZ	2	210	23.2.2012	7	16940	Tourist
61	SK	2	240	23.2.2012	2	4840	Business
74	AT	1	130	24.2.2012	7	8470	Tourist
76	CZ	2	210	25.2.2012	2	4840	Tourist
48	SK	2	120	27.2.2012	9	21780	Tourist
43	CZ	1	220	27.2.2012	2	2420	Tourist
27	CZ	1	130	27.2.2012	2	2420	Tourist
40	GE	1	230	28.2.2012	14	16940	Tourist
73	SK	1	130	2.3.2012	7	8470	Tourist
62	CZ	2	120	3.3.2012	21	50820	Tourist
44	CZ	2	230	4.3.2012	14	33880	Tourist
72	SK	2	220	7.3.2012	1	2420	Business
39	SK	2	220	7.3.2012	2	4840	Tourist
50	SK	1	310	8.3.2012	7	8470	Tourist
31	AT	4	110	9.3.2012	15	72600	Tourist
64	CZ	1	120	9.3.2012	2	2420	Tourist
44	SK	1	310	10.3.2012	1	1210	Tourist
20	SK	2	110	11.3.2012	21	50820	Tourist
81	CZ	4	210	11.3.2012	7	33880	Tourist
58	PL	1	310	12.3.2012	2	2420	Business
67	CZ	1	130	12.3.2012	6	7260	Tourist
21	SK	4	230	12.3.2012	2	9680	Tourist
42	SK	1	210	13.3.2012	1	1210	Business
72	SK	2	320	14.3.2012	7	16940	Tourist
76	CZ	1	230	15.3.2012	14	16940	Tourist
52	CZ	4	320	15.3.2012	21	101640	Tourist
40	CZ	2	110	16.3.2012	2	4840	Tourist
40	GE	1	320	16.3.2012	21	25410	Tourist
54	SK	1	130	16.3.2012	2	2420	Tourist
36	CZ	2	230	16.3.2012	2	4840	Tourist
80	GE	2	230	17.3.2012	14	33880	Business
67	CZ	1	310	18.3.2012	7	8470	Tourist
20	GE	3	240	19.3.2012	62	225060	Tourist
53	SK	1	110	21.3.2012	5	6050	Tourist
26	PL	2	310	22.3.2012	7	16940	Business
74	SK	2	110	22.3.2012	7	16940	Tourist
65	GE	2	220	25.3.2012	8	19360	Tourist
74	CZ	1	240	27.3.2012	2	2420	Tourist
58	CZ	4	130	28.3.2012	14	67760	Tourist
60	GE	2	310	28.3.2012	14	33880	Tourist
53	SK	1	220	28.3.2012	1	1210	Tourist
58	SK	1	240	30.3.2012	2	2420	Tourist
80	SK	2	230	31.3.2012	14	33880	Tourist
75	SK	2	310	1.4.2012	7	16940	Tourist
65	CZ	2	120	2.4.2012	7	16940	Business
35	SK	4	130	3.4.2012	1	4840	Business
70	CZ	2	210	4.4.2012	1	2420	Tourist
28	CZ	4	220	4.4.2012	62	300080	Business
69	SK	2	220	5.4.2012	14	33880	Tourist
66	CZ	4	240	6.4.2012	2	9680	Tourist
56	CZ	2	210	6.4.2012	14	33880	Tourist
64	GE	1	210	7.4.2012	6	7260	Tourist
50	CZ	2	220	10.4.2012	1	2420	Tourist
18	AT	1	310	12.4.2012	7	8470	Tourist
37	GE	4	120	12.4.2012	14	67760	Tourist
65	SK	2	110	13.4.2012	2	4840	Tourist
69	CZ	1	110	14.4.2012	14	16940	Tourist
70	GE	1	210	14.4.2012	2	2420	Tourist
54	CZ	1	130	15.4.2012	9	10890	Tourist
68	CZ	1	210	15.4.2012	7	8470	Tourist
73	GE	4	230	17.4.2012	14	67760	Tourist
78	PL	2	320	18.4.2012	7	16940	Tourist
72	SK	2	130	19.4.2012	2	4840	Business
62	PL	1	110	20.4.2012	21	25410	Tourist
33	CZ	1	220	21.4.2012	2	2420	Tourist
20	SK	2	320	21.4.2012	21	50820	Tourist
81	SK	2	320	25.4.2012	14	33880	Tourist
41	CZ	1	210	26.4.2012	1	1210	Business
40	CZ	4	240	27.4.2012	14	67760	Tourist
77	CZ	1	310	27.4.2012	14	16940	Tourist
80	SK	4	120	28.4.2012	21	101640	Tourist
20	CZ	1	230	30.4.2012	21	25410	Tourist
57	SK	1	240	5.5.2012	14	16940	Tourist
71	CZ	1	210	7.5.2012	2	2420	Tourist
55	GE	1	240	7.5.2012	7	8470	Business
23	SK	2	120	7.5.2012	7	16940	Tourist
45	PL	1	220	7.5.2012	4	4840	Tourist
74	SK	2	320	7.5.2012	21	50820	Tourist
36	CZ	2	220	8.5.2012	4	9680	Business
50	PL	1	210	8.5.2012	2	2420	Tourist
66	CZ	1	310	10.5.2012	2	2420	Tourist
70	CZ	2	210	10.5.2012	7	16940	Tourist
19	AT	2	130	11.5.2012	2	4840	Tourist
72	SK	2	240	13.5.2012	14	33880	Tourist
38	PL	1	230	14.5.2012	2	2420	Tourist
24	CZ	4	120	15.5.2012	2	9680	Tourist
