XDate	XEUR
1.1.2012	25.51
2.1.2012	25.51
3.1.2012	25.68
4.1.2012	25.77
5.1.2012	25.91
6.1.2012	25.85
7.1.2012	25.85
8.1.2012	25.85
9.1.2012	25.82
10.1.2012	25.79
11.1.2012	25.84
12.1.2012	25.58
13.1.2012	25.44
14.1.2012	25.44
15.1.2012	25.44
16.1.2012	25.59
17.1.2012	25.65
18.1.2012	25.56
19.1.2012	25.31
20.1.2012	25.47
21.1.2012	25.47
22.1.2012	25.47
23.1.2012	25.35
24.1.2012	25.42
25.1.2012	25.37
26.1.2012	25.20
27.1.2012	25.16
28.1.2012	25.16
29.1.2012	25.16
30.1.2012	25.27
31.1.2012	25.18
1.2.2012	25.15
2.2.2012	25.15
3.2.2012	25.07
4.2.2012	25.07
5.2.2012	25.07
6.2.2012	24.98
7.2.2012	25.00
8.2.2012	24.80
9.2.2012	24.98
10.2.2012	25.25
11.2.2012	25.25
12.2.2012	25.25
13.2.2012	25.05
14.2.2012	25.09
15.2.2012	25.19
16.2.2012	25.27
17.2.2012	25.00
18.2.2012	25.00
19.2.2012	25.00
20.2.2012	24.91
21.2.2012	24.91
22.2.2012	25.17
23.2.2012	25.07
24.2.2012	25.03
25.2.2012	25.03
26.2.2012	25.03
27.2.2012	25.05
28.2.2012	24.90
29.2.2012	24.84
1.3.2012	24.89
2.3.2012	24.71
3.3.2012	24.71
4.3.2012	24.71
5.3.2012	24.77
6.3.2012	24.86
7.3.2012	24.87
8.3.2012	24.77
9.3.2012	24.72
10.3.2012	24.72
11.3.2012	24.72
12.3.2012	24.56
13.3.2012	24.59
14.3.2012	24.61
15.3.2012	24.56
16.3.2012	24.51
17.3.2012	24.51
18.3.2012	24.51
19.3.2012	24.53
20.3.2012	24.47
21.3.2012	24.63
22.3.2012	24.74
23.3.2012	24.73
24.3.2012	24.73
25.3.2012	24.73
26.3.2012	24.64
27.3.2012	24.61
28.3.2012	24.61
29.3.2012	24.78
30.3.2012	24.73
31.3.2012	24.73
1.4.2012	24.73
2.4.2012	24.77
3.4.2012	24.62
4.4.2012	24.60
5.4.2012	24.70
6.4.2012	24.63
7.4.2012	24.63
8.4.2012	24.63
9.4.2012	24.63
10.4.2012	24.80
11.4.2012	24.82
12.4.2012	24.81
13.4.2012	24.75
14.4.2012	24.75
15.4.2012	24.75
16.4.2012	24.79
17.4.2012	24.81
18.4.2012	24.81
19.4.2012	24.84
20.4.2012	24.91
21.4.2012	24.91
22.4.2012	24.91
23.4.2012	25.05
24.4.2012	25.00
25.4.2012	24.81
26.4.2012	24.75
27.4.2012	24.87
28.4.2012	24.87
29.4.2012	24.87
30.4.2012	24.86
1.5.2012	24.86
2.5.2012	24.91
3.5.2012	24.93
4.5.2012	25.02
5.5.2012	25.02
6.5.2012	25.02
7.5.2012	25.03
8.5.2012	25.03
9.5.2012	25.25
10.5.2012	25.16
11.5.2012	25.25
12.5.2012	25.25
13.5.2012	25.25
14.5.2012	25.40
15.5.2012	25.52
16.5.2012	25.47
17.5.2012	25.51
18.5.2012	25.32
19.5.2012	25.32
20.5.2012	25.32
21.5.2012	25.23
22.5.2012	25.28
23.5.2012	25.50
24.5.2012	25.39
25.5.2012	25.43
26.5.2012	25.43
27.5.2012	25.43
28.5.2012	25.31
29.5.2012	25.50
30.5.2012	25.66
31.5.2012	25.70
1.6.2012	25.79
2.6.2012	25.79
3.6.2012	25.79
4.6.2012	25.73
5.6.2012	25.72
6.6.2012	25.57
7.6.2012	25.32
8.6.2012	25.48
9.6.2012	25.48
10.6.2012	25.48
11.6.2012	25.40
12.6.2012	25.68
13.6.2012	25.58
14.6.2012	25.54
15.6.2012	25.59
16.6.2012	25.59
17.6.2012	25.59
18.6.2012	25.51
19.6.2012	25.49
20.6.2012	25.45
21.6.2012	25.68
22.6.2012	25.77
23.6.2012	25.77
24.6.2012	25.77
25.6.2012	25.81
26.6.2012	25.96
27.6.2012	25.91
28.6.2012	25.81
29.6.2012	25.64
30.6.2012	25.64
1.7.2012	25.64
2.7.2012	25.52
3.7.2012	25.56
4.7.2012	25.50
5.7.2012	25.50
6.7.2012	25.50
7.7.2012	25.50
8.7.2012	25.50
9.7.2012	25.54
10.7.2012	25.43
11.7.2012	25.40
12.7.2012	25.44
13.7.2012	25.40
14.7.2012	25.40
15.7.2012	25.40
16.7.2012	25.39
17.7.2012	25.34
18.7.2012	25.28
19.7.2012	25.33
20.7.2012	25.57
21.7.2012	25.57
22.7.2012	25.57
23.7.2012	25.59
24.7.2012	25.54
25.7.2012	25.56
26.7.2012	25.50
27.7.2012	25.31
28.7.2012	25.31
29.7.2012	25.31
30.7.2012	25.25
31.7.2012	25.25
1.8.2012	25.36
2.8.2012	25.25
3.8.2012	25.28
4.8.2012	25.28
5.8.2012	25.28
6.8.2012	25.17
7.8.2012	25.12
8.8.2012	25.17
9.8.2012	25.14
10.8.2012	25.20
11.8.2012	25.20
12.8.2012	25.20
13.8.2012	25.15
14.8.2012	25.04
15.8.2012	24.97
16.8.2012	24.91
17.8.2012	24.91
18.8.2012	24.91
19.8.2012	24.91
20.8.2012	24.91
21.8.2012	24.78
22.8.2012	24.98
23.8.2012	24.91
24.8.2012	24.91
25.8.2012	24.91
26.8.2012	24.91
27.8.2012	24.85
28.8.2012	24.82
29.8.2012	24.81
30.8.2012	24.92
31.8.2012	24.84
1.9.2012	24.84
2.9.2012	24.84
3.9.2012	24.90
4.9.2012	24.89
5.9.2012	24.79
6.9.2012	24.70
7.9.2012	24.59
8.9.2012	24.59
9.9.2012	24.59
10.9.2012	24.54
11.9.2012	24.55
12.9.2012	24.45
13.9.2012	24.48
14.9.2012	24.43
15.9.2012	24.43
16.9.2012	24.43
17.9.2012	24.50
18.9.2012	24.82
19.9.2012	24.86
20.9.2012	24.91
21.9.2012	24.80
22.9.2012	24.80
23.9.2012	24.80
24.9.2012	24.94
25.9.2012	24.91
26.9.2012	24.98
27.9.2012	24.86
28.9.2012	24.86
29.9.2012	24.86
30.9.2012	24.86
1.10.2012	25.07
2.10.2012	25.05
3.10.2012	25.04
4.10.2012	24.96
5.10.2012	24.91
6.10.2012	24.91
7.10.2012	24.91
8.10.2012	24.91
9.10.2012	24.93
10.10.2012	24.95
11.10.2012	24.93
12.10.2012	24.95
13.10.2012	24.95
14.10.2012	24.95
15.10.2012	24.93
16.10.2012	24.88
17.10.2012	24.80
18.10.2012	24.75
19.10.2012	24.82
20.10.2012	24.82
21.10.2012	24.82
22.10.2012	24.90
23.10.2012	24.91
24.10.2012	24.98
25.10.2012	24.91
26.10.2012	24.90
27.10.2012	24.90
28.10.2012	24.90
29.10.2012	25.02
30.10.2012	25.02
31.10.2012	25.07
1.11.2012	25.23
2.11.2012	25.23
3.11.2012	25.23
4.11.2012	25.23
5.11.2012	25.23
6.11.2012	25.30
7.11.2012	25.40
8.11.2012	25.43
9.11.2012	25.39
10.11.2012	25.39
11.11.2012	25.39
12.11.2012	25.36
13.11.2012	25.45
14.11.2012	25.49
15.11.2012	25.58
16.11.2012	25.53
17.11.2012	25.53
18.11.2012	25.53
19.11.2012	25.41
20.11.2012	25.40
21.11.2012	25.48
22.11.2012	25.42
23.11.2012	25.35
24.11.2012	25.35
25.11.2012	25.35
26.11.2012	25.29
27.11.2012	25.31
28.11.2012	25.27
29.11.2012	25.23
30.11.2012	25.26
1.12.2012	25.26
2.12.2012	25.26
3.12.2012	25.25
4.12.2012	25.25
5.12.2012	25.23
6.12.2012	25.20
7.12.2012	25.20
8.12.2012	25.20
9.12.2012	25.20
10.12.2012	25.24
11.12.2012	25.29
12.12.2012	25.26
13.12.2012	25.29
14.12.2012	25.23
15.12.2012	25.23
16.12.2012	25.23
17.12.2012	25.22
18.12.2012	25.20
19.12.2012	25.25
20.12.2012	25.23
21.12.2012	25.19
22.12.2012	25.19
23.12.2012	25.19
24.12.2012	25.19
25.12.2012	25.19
26.12.2012	25.19
27.12.2012	25.10
28.12.2012	25.14
29.12.2012	25.14
30.12.2012	25.14
31.12.2012	25.14
1.1.2013	25.14
2.1.2013	25.23
3.1.2013	25.26
4.1.2013	25.36
5.1.2013	25.36
6.1.2013	25.36
7.1.2013	25.54
8.1.2013	25.58
9.1.2013	25.53
10.1.2013	25.63
11.1.2013	25.61
12.1.2013	25.61
13.1.2013	25.61
14.1.2013	25.61
15.1.2013	25.61
16.1.2013	25.58
17.1.2013	25.54
18.1.2013	25.63
19.1.2013	25.63
20.1.2013	25.63
21.1.2013	25.63
22.1.2013	25.61
23.1.2013	25.60
24.1.2013	25.59
25.1.2013	25.61
26.1.2013	25.61
27.1.2013	25.61
28.1.2013	25.70
29.1.2013	25.66
30.1.2013	25.66
31.1.2013	25.62
1.2.2013	25.64
2.2.2013	25.64
3.2.2013	25.64
4.2.2013	25.67
5.2.2013	25.65
6.2.2013	25.73
7.2.2013	25.27
8.2.2013	25.24
9.2.2013	25.24
10.2.2013	25.24
11.2.2013	25.24
12.2.2013	25.32
13.2.2013	25.41
14.2.2013	25.39
15.2.2013	25.39
16.2.2013	25.39
17.2.2013	25.39
18.2.2013	25.39
19.2.2013	25.43
20.2.2013	25.40
21.2.2013	25.50
22.2.2013	25.50
23.2.2013	25.50
24.2.2013	25.50
25.2.2013	25.53
26.2.2013	25.56
27.2.2013	25.64
28.2.2013	25.64
1.3.2013	25.68
2.3.2013	25.68
3.3.2013	25.68
4.3.2013	25.66
5.3.2013	25.63
6.3.2013	25.57
7.3.2013	25.51
8.3.2013	25.45
9.3.2013	25.45
10.3.2013	25.45
11.3.2013	25.55
12.3.2013	25.66
13.3.2013	25.63
14.3.2013	25.61
15.3.2013	25.57
16.3.2013	25.57
17.3.2013	25.57
18.3.2013	25.62
19.3.2013	25.65
20.3.2013	25.68
21.3.2013	25.81
22.3.2013	25.84
23.3.2013	25.84
24.3.2013	25.84
25.3.2013	25.73
26.3.2013	25.80
27.3.2013	25.81
28.3.2013	25.73
29.3.2013	25.73
30.3.2013	25.73
31.3.2013	25.73
1.4.2013	25.73
2.4.2013	25.88
3.4.2013	25.83
4.4.2013	25.82
5.4.2013	25.77
6.4.2013	25.77
7.4.2013	25.77
8.4.2013	25.73
9.4.2013	25.76
10.4.2013	25.86
11.4.2013	25.93
12.4.2013	25.86
13.4.2013	25.86
14.4.2013	25.86
15.4.2013	25.86
16.4.2013	25.87
17.4.2013	25.86
18.4.2013	25.88
19.4.2013	25.86
20.4.2013	25.86
21.4.2013	25.86
22.4.2013	25.93
23.4.2013	25.91
24.4.2013	25.91
25.4.2013	25.90
26.4.2013	25.74
27.4.2013	25.74
28.4.2013	25.74
29.4.2013	25.70
30.4.2013	25.80
1.5.2013	25.80
2.5.2013	25.66
3.5.2013	25.64
4.5.2013	25.64
5.5.2013	25.64
6.5.2013	25.69
7.5.2013	25.75
8.5.2013	25.75
