WDate	WSky	wwind_speed_gust_kmh	wwind_speed_avg_kmh	wwind_dir_deg	wsolar_rad_MJ	wtemp_max_C	wtemp_min_C	wtemp_avg_C	wprecip_mm
1.1.2012	Cloudy	65.9690	29.2838	277.4	4.39	5.3	-2.3	1.6	1.524
2.1.2012	Cloudy	48.7527	18.0208	328	4.33	-2.1	-8.8	-5.8	0
3.1.2012	Cloudy	41.8340	11.9066	248.2	8.94	-2.8	-12.2	-6.1	0
4.1.2012	Sunny	29.6056	10.4585	259.6	7.25	4.8	-5.9	-6.3	0
5.1.2012	Rain/Snow	27.3530	9.654	220.3	9.03	9.9	-6.2	-6.6	0
6.1.2012	Rain/Snow	28.8011	9.9758	253.7	7.81	11.9	0.6	6.1	0
7.1.2012	Rain/Snow	29.6056	8.8495	260.5	8.94	6.2	-3.6	1.6	0
8.1.2012	Rain/Snow	19.6298	3.8616	140.2	6.56	4.4	-6.1	-1.3	0
9.1.2012	Cloudy	42.3167	13.8374	232.7	7.32	8	-7.2	0.7	0.254
10.1.2012	Cloudy	28.1575	7.2405	213.8	9.87	10.9	-4.3	3	0
11.1.2012	Sunny	13.1938	4.0225	52.9	8.84	13.4	-3.6	3	0
12.1.2012	Sunny	41.1904	16.4118	320.1	2.65	2.6	-8.9	-3.1	9.906
13.1.2012	Rain/Snow	37.4897	18.8253	293	5.98	-6.1	-9.9	-8.1	0
14.1.2012	Rain/Snow	20.2734	6.436	258.9	8.5	-7.4	-16.2	-10.7	0
15.1.2012	Rain/Snow	40.8686	13.1938	181.6	9.18	-0.2	-15	-5.5	0
16.1.2012	Cloudy	28.8011	9.654	143	4.62	5.8	-1.9	2.3	0
17.1.2012	Sunny	41.3513	15.1246	228.8	2.3	4.2	-10.6	-1.9	3.302
18.1.2012	Sunny	39.2596	11.9066	219.7	10.53	-3.8	-14.8	-8.6	0
19.1.2012	Rain/Snow	38.6160	12.5502	295.1	8.89	-3	-17.6	-11.1	0.254
20.1.2012	Cloudy	25.5831	8.8495	40.5	2.27	-8.1	-17.2	-11.7	15.748
21.1.2012	Rain/Snow	28.9620	11.263	71.3	5.84	-4.1	-10.2	-7.8	0
22.1.2012	Rain/Snow	34.1108	16.2509	158.2	2.84	5.4	-9	-2.2	1.524
