HAge	HNationality	HPersons	HRoom	HVisitFrom	HNights	HPrice	HVisitType	WSky	WTempAvg	XEUR
49	CZ	1	230	1.1.2012 0:00:00	21	25410.00	Tourist	Cloudy	1.60	25.51
47	PL	1	230	1.1.2012 0:00:00	1	1210.00	Tourist	Rain/Snow	1.60	25.51
79	CZ	1	130	4.1.2012 0:00:00	7	8470.00	Tourist	Sunny	-6.30	25.77
45	GE	2	210	5.1.2012 0:00:00	1	2420.00	Business	Sunny	-6.60	25.91
76	CZ	4	220	5.1.2012 0:00:00	1	4840.00	Tourist	Rain/Snow	-6.60	25.91
77	CZ	1	220	6.1.2012 0:00:00	21	25410.00	Business	Rain/Snow	6.10	25.85
37	CZ	1	310	9.1.2012 0:00:00	2	2420.00	Tourist	Rain/Snow	0.70	25.82
57	CZ	1	240	9.1.2012 0:00:00	2	2420.00	Tourist	Cloudy	0.70	25.82
45	SK	4	240	10.1.2012 0:00:00	2	9680.00	Business	Sunny	3.00	25.79
41	SK	2	320	10.1.2012 0:00:00	2	4840.00	Tourist	Cloudy	3.00	25.79
71	SK	1	310	11.1.2012 0:00:00	2	2420.00	Business	Sunny	3.00	25.84
45	SK	1	240	13.1.2012 0:00:00	1	1210.00	Tourist	Sunny	-8.10	25.44
30	GE	2	320	13.1.2012 0:00:00	14	33880.00	Tourist	Sunny	-8.10	25.44
34	CZ	2	120	13.1.2012 0:00:00	21	50820.00	Tourist	Sunny	-8.10	25.44
19	CZ	2	210	13.1.2012 0:00:00	7	16940.00	Business	Sunny	-8.10	25.44
43	CZ	3	310	13.1.2012 0:00:00	2	7260.00	Tourist	Rain/Snow	-8.10	25.44
62	CZ	3	210	14.1.2012 0:00:00	2	7260.00	Tourist	Rain/Snow	-10.70	25.44
36	SK	2	110	16.1.2012 0:00:00	2	4840.00	Tourist	Cloudy	2.30	25.59
25	SK	2	320	17.1.2012 0:00:00	2	4840.00	Tourist	Sunny	-1.90	25.65
19	CZ	4	110	18.1.2012 0:00:00	21	101640.00	Tourist	Sunny	-8.60	25.56
62	GE	1	240	19.1.2012 0:00:00	14	16940.00	Tourist	Sunny	-11.10	25.31
44	SK	3	230	19.1.2012 0:00:00	2	7260.00	Tourist	Rain/Snow	-11.10	25.31
31	GE	3	240	19.1.2012 0:00:00	14	50820.00	Tourist	Rain/Snow	-11.10	25.31
70	CZ	1	220	20.1.2012 0:00:00	1	1210.00	Tourist	Cloudy	-11.70	25.47
54	GE	2	210	21.1.2012 0:00:00	2	4840.00	Tourist	Sunny	-7.80	25.47
61	GE	1	220	21.1.2012 0:00:00	7	8470.00	Business	Rain/Snow	-7.80	25.47
22	CZ	1	230	21.1.2012 0:00:00	5	6050.00	Tourist	Rain/Snow	-7.80	25.47
42	CZ	1	130	23.1.2012 0:00:00	1	1210.00	Tourist	Rain/Snow	1.80	25.35
24	CZ	1	320	24.1.2012 0:00:00	2	2420.00	Tourist	Rain/Snow	-2.10	25.42
39	PL	1	310	24.1.2012 0:00:00	3	3630.00	Tourist	Cloudy	-2.10	25.42
26	CZ	2	130	25.1.2012 0:00:00	7	16940.00	Tourist	Rain/Snow	-2.30	25.37
49	CZ	2	240	25.1.2012 0:00:00	7	16940.00	Tourist	Cloudy	-2.30	25.37
54	SK	1	130	25.1.2012 0:00:00	14	16940.00	Tourist	Sunny	-2.30	25.37
46	PL	1	220	25.1.2012 0:00:00	7	8470.00	Tourist	Cloudy	-2.30	25.37
54	PL	3	120	26.1.2012 0:00:00	14	50820.00	Tourist	Cloudy	1.20	25.20
59	CZ	1	110	26.1.2012 0:00:00	2	2420.00	Business	Rain/Snow	1.20	25.20
31	GE	1	240	26.1.2012 0:00:00	14	16940.00	Tourist	Cloudy	1.20	25.20
62	PL	1	240	26.1.2012 0:00:00	2	2420.00	Tourist	Cloudy	1.20	25.20
38	SK	2	210	27.1.2012 0:00:00	21	50820.00	Business	Cloudy	1.70	25.16
39	SK	2	240	27.1.2012 0:00:00	1	2420.00	Tourist	Cloudy	1.70	25.16
80	CZ	4	120	28.1.2012 0:00:00	1	4840.00	Tourist	Rain/Snow	-2.10	25.16
26	SK	2	230	29.1.2012 0:00:00	14	33880.00	Business	Rain/Snow	-3.80	25.16
31	SK	2	220	29.1.2012 0:00:00	2	4840.00	Tourist	Rain/Snow	-3.80	25.16
41	SK	1	320	30.1.2012 0:00:00	2	2420.00	Business	Sunny	2.40	25.27
65	CZ	2	210	30.1.2012 0:00:00	3	7260.00	Business	Rain/Snow	2.40	25.27
20	PL	3	210	30.1.2012 0:00:00	1	3630.00	Tourist	Cloudy	2.40	25.27
70	CZ	1	120	31.1.2012 0:00:00	6	7260.00	Tourist	Sunny	8.20	25.18
31	CZ	1	320	3.2.2012 0:00:00	21	25410.00	Tourist	Cloudy	0.70	25.07
35	CZ	2	240	3.2.2012 0:00:00	1	2420.00	Tourist	Cloudy	0.70	25.07
49	CZ	1	320	3.2.2012 0:00:00	62	75020.00	Business	Rain/Snow	0.70	25.07
51	CZ	3	130	4.2.2012 0:00:00	3	10890.00	Business	Sunny	0.80	25.07
52	CZ	1	310	4.2.2012 0:00:00	3	3630.00	Business	Cloudy	0.80	25.07
42	CZ	4	110	4.2.2012 0:00:00	14	67760.00	Tourist	Rain/Snow	0.80	25.07
80	GE	2	210	5.2.2012 0:00:00	14	33880.00	Tourist	Cloudy	0.80	25.07
44	CZ	2	110	6.2.2012 0:00:00	2	4840.00	Tourist	Cloudy	-1.40	24.98
42	CZ	2	120	8.2.2012 0:00:00	2	4840.00	Business	Cloudy	-2.30	24.80
52	CZ	3	210	8.2.2012 0:00:00	1	3630.00	Business	Cloudy	-2.30	24.80
59	CZ	2	110	8.2.2012 0:00:00	7	16940.00	Tourist	Sunny	-2.30	24.80
52	SK	2	220	9.2.2012 0:00:00	2	4840.00	Tourist	Rain/Snow	-2.70	24.98
