HVek	HPohlavi	HMesto	HMesto_X	HMesto_Y	HStat	PPobytOd	PNoci	POsob	PTypPobytu	PCenaUbytovani	PCenaStrava	PCenaSleva	PCenaCelkem	DHodnoceni	DUbytovani	DStrava	DPersonal	DZabava	MTeplota	MObloha	SEUR
66	žena	Plzeò	13.3771556	49.7490406	ÈR	7.1.2012	7	2	rekreaèní	16940.00	2100.00	200.00	18840.00	nespokojen	7	33	21	56	1.6	srážky	25.85
30	muž	Mnichov	11.5836375	48.1364669	Nìmecko	14.1.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	nespokojen	6	35	23	56	-10.7	srážky	25.44
62	žena	Plzeò	13.3771556	49.7490406	ÈR	14.1.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	nespokojen	7	30	40	56	-10.7	srážky	25.44
39	muž	Plzeò	13.3771556	49.7490406	ÈR	14.1.2012	7	3	rekreaèní	25410.00	0.00	200.00	25210.00	nespokojen	38	38	30	1	-10.7	srážky	25.44
64	muž	Plzeò	13.3771556	49.7490406	ÈR	14.1.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	nespokojen	40	36	23	2	-10.7	srážky	25.44
66	žena	Hradec Králové	15.8353464	50.2100194	ÈR	14.1.2012	7	3	rekreaèní	25410.00	0.00	200.00	25210.00	nespokojen	29	33	14	55	-10.7	srážky	25.44
39	muž	Vídeò	16.3736767	48.2115631	Rakousko	14.1.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	nespokojen	32	40	40	71	-10.7	srážky	25.44
39	žena	Plzeò	13.3771556	49.7490406	ÈR	14.1.2012	7	3	rekreaèní	25410.00	0.00	200.00	25210.00	nespokojen	24	26	40	71	-10.7	srážky	25.44
22	muž	Linec	14.2862742	48.3066489	Rakousko	21.1.2012	7	3	rekreaèní	25410.00	3150.00	200.00	28360.00	prùmìr	49	65	56	36	-7.8	sluneèno	25.47
49	muž	Plzeò	13.3771556	49.7490406	ÈR	21.1.2012	7	2	rekreaèní	16940.00	0.00	200.00	16740.00	nespokojen	22	26	38	3	-7.8	sluneèno	25.47
